Accession	Description	markers	tagm.map.allocation	tagm.map.probability	tagm.map.joint.19S.proteasome	tagm.map.joint.20S.proteasome	tagm.map.joint.40S.ribosome	tagm.map.joint.60S.ribosome	tagm.map.joint.apical.1	tagm.map.joint.apical.2	tagm.map.joint.apicoplast	tagm.map.joint.cytosol	tagm.map.joint.dense.granules	tagm.map.joint.endomembrane.vesicles	tagm.map.joint.ER	tagm.map.joint.ER.2	tagm.map.joint.Golgi	tagm.map.joint.IMC	tagm.map.joint.micronemes	tagm.map.joint.mitochondrion...membranes	tagm.map.joint.mitochondrion...soluble	tagm.map.joint.nucleolus	tagm.map.joint.nucleus...chromatin	tagm.map.joint.nucleus...non.chromatin	tagm.map.joint.PM...integral	tagm.map.joint.PM...peripheral.1	tagm.map.joint.PM...peripheral.2	tagm.map.joint.rhoptries.1	tagm.map.joint.rhoptries.2	tagm.map.joint.tubulin.cytoskeleton	tagm.map.outlier	tagm.map.loc.prob	tagm.map.allocation.pred	tagm.mcmc.allocation	tagm.mcmc.probability	tagm.mcmc.probability.lowerquantile	tagm.mcmc.probability.upperquantile	tagm.mcmc.mean.shannon	tagm.mcmc.outlier	tagm.mcmc.joint.19S.proteasome	tagm.mcmc.joint.20S.proteasome	tagm.mcmc.joint.40S.ribosome	tagm.mcmc.joint.60S.ribosome	tagm.mcmc.joint.apical.1	tagm.mcmc.joint.apical.2	tagm.mcmc.joint.apicoplast	tagm.mcmc.joint.cytosol	tagm.mcmc.joint.dense.granules	tagm.mcmc.joint.endomembrane.vesicles	tagm.mcmc.joint.ER	tagm.mcmc.joint.ER.2	tagm.mcmc.joint.Golgi	tagm.mcmc.joint.IMC	tagm.mcmc.joint.micronemes	tagm.mcmc.joint.mitochondrion...membranes	tagm.mcmc.joint.mitochondrion...soluble	tagm.mcmc.joint.nucleolus	tagm.mcmc.joint.nucleus...chromatin	tagm.mcmc.joint.nucleus...non.chromatin	tagm.mcmc.joint.PM...integral	tagm.mcmc.joint.PM...peripheral.1	tagm.mcmc.joint.PM...peripheral.2	tagm.mcmc.joint.rhoptries.1	tagm.mcmc.joint.rhoptries.2	tagm.mcmc.joint.tubulin.cytoskeleton	tagm.mcmc.loc.prob	tagm.mcmc.allocation.pred
TGME49_239680	hypothetical protein	unknown	apicoplast	1	8.456464e-16	6.964156e-16	1.391989e-15	1.939771e-15	2.337966e-15	7.959035e-16	1	2.342615e-14	6.255238e-15	1.2934e-15	1.119219e-14	5.969297e-16	5.083874e-15	4.077811e-15	2.537237e-15	9.446627e-15	1.039839e-14	1.539002e-15	2.364955e-14	1.777453e-14	5.771931e-15	2.436857e-15	1.542903e-15	2.835496e-15	2.437446e-15	4.476957e-16	1.471705e-13	1	apicoplast	apicoplast	1	1	1	8.473834e-08	4.903344e-14	4.433321e-39	1.055259e-42	2.476371e-38	7.553273e-40	5.639414e-28	6.009484e-36	1	8.903143e-70	8.825305e-33	3.463559e-17	4.495298e-56	4.387827e-09	4.172855e-27	2.158556e-27	6.411322e-28	6.14761e-103	4.210729e-85	7.154658e-24	5.669307e-64	2.516127e-79	1.417827e-20	1.857829e-29	4.941869e-14	5.588518e-32	7.170774e-32	5.013984e-38	1	apicoplast
TGME49_222370	SAG-related sequence SRS13	PM - peripheral 1	PM - peripheral 1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	PM - peripheral 1	PM - peripheral 1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	PM - peripheral 1
TGME49_246330	CRAL/TRIO domain-containing protein	unknown	cytosol	0.9999996	2.082101e-09	1.714673e-09	3.427273e-09	4.775989e-09	5.756403e-09	1.959627e-09	1.580575e-08	0.9999997	1.540128e-08	3.184532e-09	2.755675e-08	1.469725e-09	1.251722e-08	1.004015e-08	6.247035e-09	2.325893e-08	2.560231e-08	3.789241e-09	5.822854e-08	4.37634e-08	1.421131e-08	5.999886e-09	3.798845e-09	6.981391e-09	6.001335e-09	1.10229e-09	3.623545e-07	0.9999993	cytosol	cytosol	0.9999737	0.9999287	0.9999961	0.0002986326	5.699247e-09	2.634027e-05	2.159681e-26	2.705401e-26	1.025622e-39	5.016936e-66	5.759624e-35	7.001782e-94	0.9999737	8.726332e-61	1.341497e-29	2.892396e-161	9.199534e-43	6.556425e-68	2.377835e-70	7.182921e-71	1.308444e-148	8.829954e-128	9.974395e-13	3.999809e-17	9.96116e-27	1.000126e-43	5.611026e-66	1.227699e-18	1.308255e-67	5.504074e-66	2.373705e-35	0.9999737	cytosol
TGME49_228490	hypothetical protein	unknown	cytosol	1	6.410588e-14	5.279315e-14	1.055224e-13	1.470481e-13	1.772341e-13	6.033503e-14	4.866439e-13	1	4.741906e-13	9.804869e-14	8.484459e-13	4.525142e-14	3.85393e-13	3.091265e-13	1.923402e-13	7.161201e-13	7.882706e-13	1.166671e-13	1.792801e-12	1.347433e-12	4.375526e-13	1.847307e-13	1.169628e-13	2.149503e-13	1.847754e-13	3.393845e-14	1.115655e-11	1	cytosol	cytosol	1	1	1	2.145325e-12	2.818335e-14	7.442823e-14	1.264816e-23	9.589681e-36	2.174161e-54	1.711e-85	2.188426e-47	1.11906e-139	1	1.233014e-118	3.429943e-44	7.943706e-240	9.096833e-55	2.696226e-94	5.638191e-88	1.977901e-85	1.419026e-195	1.663775e-196	1.11674e-54	4.876665e-169	5.654234e-74	3.736413e-58	7.155768e-84	1.5865e-70	7.129133e-85	5.145582e-85	2.93872e-41	1	cytosol
TGME49_228400	WD domain, G-beta repeat-containing protein	unknown	cytosol	1.776984e-06	0.005746023	0.004732025	0.009458326	0.01318041	0.01588608	0.005408029	0.04361951	0.1591785	0.04250328	0.008788429	0.07604902	0.004056035	0.03454406	0.02770803	0.01724009	0.06418822	0.07065531	0.01045726	0.1606947	0.1207749	0.03921929	0.01655803	0.01048376	0.01926671	0.01656203	0.003042016	0.9999982	3.15767e-12	unknown	cytosol	0.8330313	0.04012933	0.9998613	0.2019461	0.9963297	0.06190655	4.658407e-17	8.53208e-23	4.715159e-32	1.324297e-45	2.059647e-16	1.350049e-53	0.8330313	4.414839e-47	1.023232e-09	6.082166e-121	1.415026e-18	3.180445e-38	9.931533e-46	1.44763e-43	8.585595e-135	8.86132e-119	7.433039e-05	1.503982e-35	6.443685e-40	5.363521e-22	3.610815e-37	0.1049879	2.11736e-46	1.141112e-41	5.750142e-22	0.003057446	unknown
TGME49_293870	thioredoxin, putative	unknown	cytosol	1	1.027751e-11	8.463844e-12	1.691745e-11	2.357488e-11	2.841433e-11	9.672964e-12	7.801918e-11	1	7.602265e-11	1.571925e-11	1.360236e-10	7.254748e-12	6.178655e-11	4.955942e-11	3.083615e-11	1.14809e-10	1.263762e-10	1.870417e-11	2.874234e-10	2.160216e-10	7.014881e-11	2.961619e-11	1.875158e-11	3.446102e-11	2.962335e-11	5.441042e-12	1.788627e-09	1	cytosol	cytosol	1	1	1	7.23977e-10	5.535785e-12	3.161071e-11	5.884122e-19	6.451006e-45	6.204916e-60	1.76441e-86	9.365761e-43	4.572887e-128	1	6.310368e-120	7.720442e-37	4.871316e-232	3.156161e-51	8.596548e-86	4.160925e-85	5.829099e-81	3.534399e-203	1.358593e-206	5.737626e-61	1.768733e-178	1.510963e-105	1.504881e-55	4.641244e-76	6.249391e-56	3.867228e-85	5.575912e-82	2.014029e-42	1	cytosol
TGME49_300380	endoplasmic reticulum oxidoreductin, putative	unknown	ER	1	2.766391e-12	2.278207e-12	4.553658e-12	6.345635e-12	7.648266e-12	2.603665e-12	2.100037e-11	7.663472e-11	2.046296e-11	4.23114e-12	1	1.952756e-12	1.663104e-11	1.333988e-11	8.300145e-12	3.090306e-11	3.40166e-11	5.034589e-12	7.736556e-11	5.814639e-11	1.888191e-11	7.97177e-12	5.047349e-12	9.27585e-12	7.973696e-12	1.464562e-12	4.814435e-10	1	ER	ER	1	1	1	1.370133e-08	1.813626e-11	4.147708e-50	5.521213e-47	1.49962e-42	3.376565e-44	3.107038e-20	5.686057e-26	1.945168e-18	1.647605e-94	2.285004e-16	5.949062e-21	1	6.138451e-21	1.801144e-12	1.555306e-29	1.364663e-18	2.828446e-36	9.153291e-23	1.101669e-24	1.806445e-39	3.240775e-96	5.565065e-20	1.321929e-38	6.236121e-10	1.327981e-21	8.00075e-21	5.51434e-39	1	ER
TGME49_246340	DnaJ domain-containing protein	unknown	nucleus - chromatin	0.7800108	0.001264065	0.001040996	0.002080733	0.002899554	0.003494773	0.00118971	0.009595839	0.03501724	0.009350279	0.001933363	0.01672999	0.0008922856	0.007599334	0.006095479	0.003792641	0.01412074	0.01554343	0.002300488	0.8153619	0.02656922	0.008627836	0.003642594	0.002306319	0.004238476	0.003643474	0.0006692119	0.2199892	0.6084168	unknown	nucleus - chromatin	0.9836899	0.9588265	0.9961591	0.08041854	0.003647594	2.790803e-07	3.628265e-35	1.181727e-25	1.095915e-25	4.300858e-29	8.891787e-23	5.470485e-29	2.505421e-08	3.829465e-19	1.220421e-11	4.598143e-48	6.046746e-14	2.951977e-21	6.973174e-33	1.906574e-40	8.993058e-89	5.120434e-55	1.683505e-08	0.9836899	1.227701e-18	4.52329e-20	1.607826e-35	0.01630978	1.308078e-34	4.23199e-31	1.658864e-31	0.9801018	unknown
TGME49_234190	serine hydroxymethyltransferase 2, putative	unknown	cytosol	0.9994708	3.040558e-06	2.503992e-06	5.004955e-06	6.974528e-06	8.406258e-06	2.861705e-06	2.308164e-05	0.9995551	2.249098e-05	4.650473e-06	4.024199e-05	2.146286e-06	1.827929e-05	1.466194e-05	9.122743e-06	3.396575e-05	3.738787e-05	5.533549e-06	8.503298e-05	6.390907e-05	2.075323e-05	8.761824e-06	5.547573e-06	1.019515e-05	8.76394e-06	1.609709e-06	0.0005291577	0.998942	cytosol	cytosol	0.9990811	0.9972123	0.9998754	0.007104404	2.518195e-05	0.0009188875	1.489777e-13	8.514633e-31	2.144204e-45	2.52125e-73	2.771635e-31	6.195584e-99	0.9990811	1.123907e-88	1.382463e-28	5.582313e-189	6.852203e-43	1.332186e-73	2.165459e-72	1.762047e-71	1.407148e-173	1.191872e-161	6.01096e-25	5.187604e-79	1.308887e-41	4.322758e-47	5.004711e-67	1.324347e-27	1.173246e-71	7.307769e-70	1.443776e-35	0.999056	cytosol
TGME49_289080	HEAT repeat-containing protein	unknown	nucleus - chromatin	0.9994814	2.980086e-06	2.454191e-06	4.905414e-06	6.835816e-06	8.239071e-06	2.80479e-06	2.262258e-05	8.255452e-05	2.204367e-05	4.557983e-06	3.944164e-05	2.1036e-06	1.791574e-05	1.437034e-05	8.941306e-06	3.329023e-05	3.664428e-05	5.423495e-06	0.9995647	6.263802e-05	2.034048e-05	8.587565e-06	5.437241e-06	9.992381e-06	8.589639e-06	1.577694e-06	0.0005186336	0.998963	nucleus - chromatin	nucleus - chromatin	0.9995447	0.9972677	0.9999874	0.003585927	1.39934e-05	4.107881e-08	2.931118e-31	6.588359e-16	6.353834e-20	3.247882e-33	2.167425e-18	1.606255e-49	2.414526e-17	2.153256e-19	1.318119e-13	5.508569e-62	1.08455e-23	7.001768e-34	5.912211e-47	8.193713e-47	7.014812e-71	1.028881e-36	6.759234e-06	0.9995447	4.972663e-11	2.183845e-23	6.779659e-47	0.0004485056	5.698866e-31	9.603355e-37	6.431652e-23	0.9995307	nucleus - chromatin
TGME49_300310	26S proteasome regulatory subunit, S6a family AAA ATpase	19S proteasome	19S proteasome	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19S proteasome	19S proteasome	1	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19S proteasome
TGME49_271350	bifunctional protein FolC subfamily protein	unknown	nucleus - chromatin	0.08766672	0.005241645	0.004316654	0.008628087	0.01202345	0.01449163	0.004933319	0.03979065	0.1452957	0.0387724	0.008016993	0.06937354	0.003700002	0.03151183	0.02527586	0.01572678	0.05855387	0.06445329	0.009539335	0.2342559	0.1101956	0.03577667	0.01510459	0.009563512	0.01757551	0.01510824	0.002774992	0.9122198	0.007695404	unknown	nucleus - chromatin	0.9881743	0.9551176	0.9977591	0.06582401	0.01344226	0.007366808	1.750752e-28	1.356212e-09	9.98898e-13	4.933555e-30	1.152638e-12	6.059254e-42	7.790001e-05	1.248911e-15	2.708984e-12	1.20198e-70	2.015025e-20	4.970532e-35	1.536146e-42	8.088876e-46	7.733507e-80	1.248358e-38	0.004206728	0.9881743	3.502102e-05	1.42047e-19	2.510842e-44	0.0001392334	4.706942e-33	8.319629e-37	2.927862e-21	0.974891	unknown
TGME49_216120	hypothetical protein	unknown	nucleus - non-chromatin	0.9997611	1.141697e-06	9.402221e-07	1.879307e-06	2.618861e-06	3.15646e-06	1.07454e-06	8.666908e-06	3.162735e-05	8.44512e-06	1.746203e-06	1.511044e-05	8.059074e-07	6.863676e-06	5.505402e-06	3.425492e-06	1.275378e-05	1.403874e-05	2.117588e-06	7.214493e-05	0.999785	7.792613e-06	3.289971e-06	2.083054e-06	3.828168e-06	3.290766e-06	6.044285e-07	0.000198693	0.9995624	nucleus - non-chromatin	nucleus - non-chromatin	0.9995471	0.9984387	0.9999209	0.003788679	1.029452e-05	5.79983e-18	9.451848e-34	5.998626e-09	3.88591e-10	7.630268e-41	7.699201e-21	7.633219e-71	3.905469e-23	5.134999e-29	7.023322e-23	5.072094e-92	2.588934e-35	2.059246e-55	1.394963e-59	3.615024e-59	6.405516e-101	2.967541e-70	1.050374e-07	0.0004527546	0.9995471	1.922722e-32	6.130917e-61	2.528439e-18	1.319013e-43	1.134494e-50	4.520475e-21	0.9995368	nucleus - non-chromatin
TGME49_311410	M phase phosphoprotein MPP10, putative	nucleolus	nucleolus	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	nucleolus	nucleolus	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	nucleolus
TGME49_262040	SAC3/GANP family protein	unknown	cytosol	0.9990649	5.284767e-06	4.352166e-06	8.699068e-06	1.212237e-05	1.461084e-05	4.973904e-06	4.011799e-05	0.9992113	3.909137e-05	8.082947e-06	6.994426e-05	3.730441e-06	3.177107e-05	2.54838e-05	1.585616e-05	5.903557e-05	6.498352e-05	9.617812e-06	0.0001486016	0.0001256644	3.6071e-05	1.522885e-05	9.642188e-06	1.772009e-05	1.523253e-05	2.797821e-06	0.0009197243	0.998146	cytosol	cytosol	0.9788746	0.9355458	0.9970145	0.09845792	2.961297e-05	0.0002190429	7.619462e-26	1.618589e-10	3.14014e-23	2.26606e-52	8.316945e-24	3.260766e-82	0.9788746	3.785315e-44	3.48143e-20	1.729471e-131	7.633983e-39	5.945826e-62	4.033126e-64	1.458541e-64	1.584329e-124	5.213184e-94	1.187904e-06	0.0207628	0.0001423857	5.707952e-39	4.291319e-63	4.834042e-15	1.050452e-55	6.850243e-58	2.999642e-27	0.9788456	unknown
TGME49_271820	lipoyltransferase and lipoate-protein ligase subfamily protein	mitochondrion - soluble	mitochondrion - soluble	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	mitochondrion - soluble	mitochondrion - soluble	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	mitochondrion - soluble
TGME49_266970	hypothetical protein	unknown	PM - peripheral 2	1	7.362407e-11	6.063166e-11	1.2119e-10	1.688812e-10	2.035492e-10	6.929333e-11	5.588989e-10	2.039538e-09	5.445965e-10	1.126066e-10	9.744197e-10	5.197018e-11	4.426147e-10	3.550243e-10	2.208981e-10	8.224468e-10	9.053099e-10	1.339894e-10	2.058989e-09	1.547494e-09	5.025186e-10	2.121588e-10	1	2.468653e-10	2.122101e-10	3.89775e-11	1.281303e-08	1	PM - peripheral 2	PM - peripheral 2	0.9999981	0.9999923	1	2.652162e-05	1.802045e-06	1.949862e-06	6.400476e-31	6.897915e-34	8.728768e-37	1.124595e-39	1.435627e-29	4.683865e-44	9.955303e-13	1.976276e-45	1.261606e-12	3.113951e-86	4.874496e-15	2.661745e-19	4.956036e-40	3.877084e-38	1.474473e-122	1.597565e-105	2.668223e-16	3.271267e-34	9.354307e-45	4.826899e-23	6.220158e-22	0.9999981	4.102962e-42	1.003959e-34	1.038297e-30	0.9999962	PM - peripheral 2
TGME49_297970	aspartyl aminopeptidase	unknown	cytosol	5.319842e-05	0.005745728	0.004731782	0.00945784	0.01317973	0.01588527	0.00540775	0.04361726	0.1592217	0.04250109	0.008787977	0.07604511	0.004055827	0.03454228	0.02770661	0.0172392	0.06418492	0.07065168	0.01045672	0.1606864	0.1207687	0.03921727	0.01655718	0.01048322	0.01926572	0.01656118	0.00304186	0.9999468	2.830072e-09	unknown	cytosol	0.9999994	0.9999958	1	8.605482e-06	0.02359433	6.060048e-07	1.286008e-17	3.343828e-21	4.847372e-30	1.282778e-53	1.585162e-16	1.069707e-71	0.9999994	1.541989e-64	3.023393e-13	2.229004e-143	1.23289e-24	1.808186e-50	1.774005e-53	1.884731e-55	6.192903e-141	6.7538e-113	3.354726e-11	1.215498e-60	3.391472e-35	3.922135e-29	8.510715e-48	2.120262e-08	2.849712e-49	9.119023e-52	2.665863e-24	0.9764051	unknown
TGME49_294670	translation initiation factor 3 subunit	unknown	nucleus - non-chromatin	0.9998881	6.424813e-07	5.291029e-07	1.057566e-06	1.473744e-06	1.776274e-06	6.04689e-07	4.877237e-06	1.783964e-05	4.752428e-06	9.826625e-07	8.503285e-06	4.535183e-07	3.862482e-06	3.098124e-06	1.92767e-06	7.177091e-06	7.900197e-06	1.16926e-06	1.796779e-05	0.9999016	4.385235e-06	1.851406e-06	1.172223e-06	2.154273e-06	1.851854e-06	3.401376e-07	0.000111813	0.9997763	nucleus - non-chromatin	nucleus - non-chromatin	0.9999913	0.9999698	0.999998	0.0001076456	2.281228e-06	4.658248e-08	2.598034e-22	7.03773e-14	3.951598e-31	4.284414e-66	1.362951e-31	5.837799e-102	8.656746e-06	1.416218e-69	2.972657e-26	5.066827e-170	1.031154e-45	9.388567e-74	1.096796e-73	3.740551e-73	3.674919e-152	7.627607e-134	4.919618e-11	2.146169e-25	0.9999913	5.668056e-45	3.990784e-70	4.461249e-30	2.960099e-67	2.969489e-68	5.210097e-31	0.999989	nucleus - non-chromatin
TGME49_278720	hypothetical protein	unknown	mitochondrion - membranes	1	8.677256e-14	7.145985e-14	1.428333e-13	1.990417e-13	2.399009e-13	8.16684e-14	6.587124e-13	2.403779e-12	6.418558e-13	1.327169e-13	1.148441e-12	6.125151e-14	5.216611e-13	4.18428e-13	2.603482e-13	1	2.310311e-11	1.579185e-13	2.426703e-12	1.823861e-12	5.922633e-13	2.500482e-13	1.583187e-13	2.909529e-13	2.501086e-13	4.593848e-14	1.51013e-11	1	mitochondrion - membranes	mitochondrion - membranes	0.9999999	0.9999998	1	9.712237e-07	8.044019e-13	7.073299e-59	1.569761e-48	2.465243e-45	8.299886e-53	1.214483e-37	4.42778e-36	3.338101e-84	1.568715e-132	4.781721e-26	6.678282e-37	2.426959e-46	3.840178e-40	8.773359e-54	1.052754e-60	7.823563e-58	0.9999999	5.582793e-08	1.246177e-25	7.607835e-55	1.456972e-104	6.820235e-41	2.090802e-64	8.102809e-31	1.170197e-28	2.161616e-45	2.926913e-36	0.9999999	mitochondrion - membranes
TGME49_234220	hypothetical protein	unknown	Golgi	0.9999995	2.582146e-09	2.126476e-09	4.25038e-09	5.923009e-09	7.138884e-09	2.430258e-09	1.960172e-08	7.153077e-08	1.910011e-08	1.131919e-08	3.417489e-08	1.8227e-09	0.9999996	1.245143e-08	7.747347e-09	2.884488e-08	3.175106e-08	4.69928e-09	7.221293e-08	5.427378e-08	1.779327e-08	7.440842e-09	4.71119e-09	8.658069e-09	7.44264e-09	1.36702e-09	4.493789e-07	0.9999991	Golgi	Golgi	0.9728208	0.7321554	0.9999881	0.06239919	7.56594e-08	3.308008e-38	2.128985e-42	5.191562e-42	1.12903e-43	9.3234e-21	5.200587e-30	4.632426e-20	6.376558e-72	2.47362e-32	1.402302e-06	1.807741e-11	9.938946e-15	0.9728208	6.955953e-16	2.666075e-11	1.779878e-81	4.592463e-71	4.187437e-26	3.547956e-56	1.972435e-105	0.02703124	5.17762e-12	0.0001465208	2.528395e-21	6.615184e-14	5.271907e-38	0.9728208	unknown
TGME49_214930	hypothetical protein	unknown	mitochondrion - membranes	1	2.236618e-15	1.841923e-15	3.681618e-15	5.130426e-15	6.183598e-15	2.105055e-15	1.697873e-14	6.195893e-14	1.654424e-14	3.420863e-15	2.960179e-14	1.578797e-15	1.344614e-14	1.078525e-14	6.710641e-15	1	2.750239e-14	4.070449e-15	6.25498e-14	4.701117e-14	1.526596e-14	6.445151e-15	4.080765e-15	7.499495e-15	6.446707e-15	1.184093e-15	3.892456e-13	1	mitochondrion - membranes	mitochondrion - membranes	1	1	1	3.285718e-11	6.626281e-15	7.523539e-59	3.012535e-46	1.399624e-44	2.782012e-52	5.494598e-39	1.995255e-36	1.386861e-92	1.710705e-137	6.698841e-27	5.257345e-38	1.357007e-64	2.495716e-41	1.716132e-58	2.526933e-63	4.143962e-59	1	1.170393e-12	1.433901e-29	3.327388e-60	1.486047e-107	3.098664e-42	5.404967e-67	5.308388e-34	1.069597e-29	1.610699e-47	3.629933e-34	1	mitochondrion - membranes
TGME49_232020	hypothetical protein	unknown	rhoptries 2	1	1.978199e-14	1.629107e-14	3.256244e-14	4.537656e-14	5.469146e-14	1.861837e-14	1.501701e-13	5.480019e-13	1.463272e-13	3.025617e-14	2.61816e-13	1.396382e-14	1.189258e-13	9.53912e-14	5.935293e-14	2.209825e-13	2.43247e-13	3.600149e-14	5.53228e-13	4.15795e-13	1.350213e-13	5.700478e-14	3.609274e-14	6.633005e-14	1	1.047283e-14	3.442721e-12	1	rhoptries 2	rhoptries 2	0.9998272	0.9997135	0.9999376	0.001655382	7.682477e-12	4.789544e-43	1.306081e-40	1.922987e-40	1.23013e-41	9.434056e-22	1.848169e-17	1.410044e-26	2.276619e-87	7.978527e-36	9.18204e-13	2.798288e-41	1.712492e-18	2.546633e-19	5.309842e-23	4.423834e-17	2.418997e-67	1.299643e-58	1.694656e-24	1.225464e-82	3.966972e-119	4.181811e-12	1.176172e-19	3.389471e-18	0.0001728137	0.9998272	2.210586e-34	0.9998272	rhoptries 2
TGME49_279380	hypothetical protein	unknown	cytosol	1	2.325381e-10	1.915022e-10	3.827727e-10	5.334032e-10	6.429001e-10	2.188596e-10	1.765255e-09	1	1.720082e-09	3.556624e-10	3.077658e-09	1.641453e-10	1.397977e-09	1.121327e-09	6.97696e-10	2.597658e-09	2.859377e-09	4.231989e-10	6.503216e-09	4.887686e-09	1.587181e-09	6.700934e-10	4.242715e-10	7.79712e-10	6.702552e-10	1.231085e-10	4.046932e-08	0.9999999	cytosol	cytosol	1	0.9999999	1	6.060348e-07	2.86354e-10	3.354087e-08	9.076152e-22	3.386014e-41	4.881837e-55	3.652962e-80	1.580376e-40	7.768251e-109	1	1.541013e-97	1.579437e-36	6.557001e-203	6.294572e-48	7.123766e-78	6.460665e-79	2.74043e-77	5.812699e-185	2.083985e-179	5.477399e-35	2.095557e-99	1.226192e-65	3.285432e-52	1.008022e-70	7.317345e-33	1.149048e-79	3.721371e-76	1.819669e-41	1	cytosol
TGME49_311310	protein phosphatase 2B catalytic subunit, calcineurin family phosphatse superfamily protein	cytosol	cytosol	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	cytosol	cytosol	1	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	cytosol
TGME49_320588	glycosyl hydrolases family 35 protein	unknown	apicoplast	0.9999115	3.087412e-10	2.542578e-10	5.08208e-10	7.082004e-10	8.535797e-10	2.905803e-10	0.9999115	8.552768e-09	2.283756e-09	4.722136e-10	4.086212e-09	2.17936e-10	1.856097e-09	1.488788e-09	9.263322e-10	3.448916e-09	3.796401e-09	5.618819e-10	8.634332e-09	6.48939e-09	8.842385e-05	8.896842e-10	5.63306e-10	1.035225e-09	8.898991e-10	1.634514e-10	5.373119e-08	0.9999115	apicoplast	apicoplast	0.9971339	0.9682668	0.9998268	0.01487696	2.933701e-08	5.210096e-46	2.432208e-44	2.296215e-42	4.984769e-43	1.436315e-14	5.774317e-27	0.9971339	3.858946e-76	5.279771e-19	2.191748e-11	5.421848e-18	8.567132e-15	0.0002198187	5.569408e-11	2.577413e-14	7.567679e-71	3.059853e-57	3.365334e-23	1.558414e-56	4.367691e-107	0.002646266	1.257803e-16	3.00081e-09	1.096788e-18	2.503111e-10	4.446467e-39	0.9971339	apicoplast
TGME49_208790	MC family transporter, putative	unknown	mitochondrion - membranes	1	4.607512e-14	3.794426e-14	7.584263e-14	1.056886e-13	1.273843e-13	4.336487e-14	3.497678e-13	1.276376e-12	3.408172e-13	7.047099e-14	6.098074e-13	3.252376e-14	2.769953e-13	2.221799e-13	1.382416e-13	1	6.140262e-13	8.385267e-14	1.288548e-12	9.684467e-13	3.144842e-13	1.327724e-13	8.40652e-14	1.544922e-13	1.328044e-13	2.439274e-14	8.018596e-12	1	mitochondrion - membranes	mitochondrion - membranes	1	1	1	5.122404e-08	3.462956e-13	6.88321e-59	1.792097e-48	9.488785e-45	5.413294e-52	2.263839e-37	1.949245e-35	7.171848e-77	2.355429e-134	5.184571e-28	6.610557e-37	1.032205e-39	3.015163e-37	8.682473e-52	4.217143e-58	8.377055e-55	1	2.504414e-09	8.897138e-27	1.007402e-60	1.923365e-113	1.574692e-38	7.441968e-61	9.009229e-32	4.884988e-29	1.752112e-43	6.103334e-37	1	mitochondrion - membranes
TGME49_257380	hypothetical protein	unknown	cytosol	1.170025e-26	0.005746033	0.004732033	0.009458343	0.01318043	0.01588611	0.005408038	0.04361959	0.159177	0.04250335	0.008788445	0.07604915	0.004056043	0.03454412	0.02770808	0.01724012	0.06418834	0.07065543	0.01045728	0.160695	0.1207751	0.03921936	0.01655806	0.01048378	0.01926674	0.01656206	0.003042021	1	1.298989e-42	unknown	PM - peripheral 2	0.5159282	0.005211262	0.9999971	0.5580846	0.8836617	1.266297e-05	8.740026e-18	1.459257e-12	1.558179e-19	1.711162e-24	2.375866e-15	2.807538e-09	1.912372e-11	0.0109946	0.02370199	2.02658e-70	0.2006686	7.981802e-23	4.967927e-17	2.846778e-21	5.7912e-104	1.235782e-82	0.2486939	1.90407e-27	1.11043e-34	6.123013e-08	1.952771e-22	0.5159282	1.266137e-24	6.877617e-23	6.702377e-16	0.06002222	unknown
